Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Steelix (Shadow),89.4,208,steel,ground,126.6,238.2,163,4914537,48.5,2495,Thunder Fang,Psychic Fangs,Crunch,6,8,5,75000
Cradily (Shadow),89.3,346,rock,grass,140.3,175.6,180,4436127,50,2499,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Cresselia (Shadow),89.2,488,psychic,none,121.9,201.7,207,5092108,33.5,2491,Psycho Cut,Grass Knot*,Moonblast,6,7,20,100000
Clefable,89.1,36,fairy,none,150.7,144,191,4144850,47.5,2500,Fairy Wind,Moonblast,Meteor Mash,7,5,1,10000
Ninetales (Shadow),89.1,38,fire,none,151.2,171.2,159,4116371,49,2498,Ember*,Weather Ball (Fire),Energy Ball*,4,5,3,50000
Raikou (Shadow),89.1,243,electric,none,171.2,138.9,151,3591755,26.5,2487,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Ampharos (Shadow),89,181,electric,none,163.7,137.8,169,3814313,35,2499,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Milotic (Shadow),89,350,water,none,145.2,172.6,171,4285417,31.5,2495,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Togekiss,89,468,fairy,flying,161.1,161.1,149,3868222,27.5,2498,Peck,Psyshock,Aura Sphere*,5,5,3,50000
Turtonator,89,776,fire,dragon,150.4,193.3,142,4127984,50,2499,Incinerate,Brutal Swing,Dragon Claw,2,3,5,75000
Ampharos,88.9,181,electric,none,163.7,137.8,169,3814313,35,2499,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Guzzlord,88.9,799,dark,dragon,145.1,86.1,343,4287285,34,2494,Dragon Tail,Brutal Swing,Sludge Bomb,3,5,20,100000
Hippowdon,88.9,450,ground,none,150,150.7,184,4160112,30,2500,Sand Attack,Weather Ball (Rock),Earth Power,9,13,3,50000
Aromatisse,88.8,683,fairy,none,152.7,135.3,198,4091706,47,2499,Fairy Wind,Psyshock,Moonblast,5,7,3,50000
Golisopod,88.8,768,bug,water,160.4,171.9,141,3889212,29,2497,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Gyarados,88.8,130,water,flying,168,138.1,160,3712677,27,2500,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Hydreigon (Shadow),88.8,635,dark,dragon,175,135.6,150,3559227,25,2498,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Orthworm,88.8,968,steel,none,144.1,194.9,154,4323824,48.5,2496,Mud Slap,Rock Tomb,Earthquake,5,7,5,75000
Toucannon,88.8,733,normal,flying,177.3,124.8,159,3517550,39,2499,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Toucannon (Shadow),88.8,733,normal,flying,177.3,124.8,159,3517550,39,2499,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Hippowdon (Shadow),88.6,450,ground,none,150,150.7,184,4160112,30,2500,Sand Attack,Weather Ball (Rock),Earth Power,9,13,3,50000
Melmetal,88.6,809,steel,none,155.2,138.3,187,4012293,25.5,2498,Thunder Shock,Double Iron Bash*,Dynamic Punch,4,5,20,100000
Seismitoad,88.6,537,water,ground,154.1,132.5,198,4042679,42.5,2498,Mud Shot,Earth Power,Icy Wind,6,5,3,50000
Primarina,88.5,730,water,fairy,169,149.1,146,3678176,28.5,2495,Waterfall,Disarming Voice,Hydro Cannon*,5,4,3,10000
Cobalion,88.4,638,steel,fighting,146.1,180,162,4260018,31,2496,Double Kick,Sacred Sword*,Stone Edge,3,5,20,100000
Goodra,88.4,706,dragon,none,153.3,175.1,151,4051325,26,2493,Dragon Breath,Aqua Tail,Thunder Punch*,9,10,5,75000
Samurott,88.4,503,water,none,165.1,130.7,175,3777696,35.5,2498,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Blastoise (Shadow),88.2,9,water,none,143.9,181.6,166,4337825,45.5,2498,Rollout,Hydro Cannon*,Skull Bash,4,6,3,10000
Sylveon,88.2,700,fairy,none,152.2,159.5,169,4102727,30,2498,Fairy Wind,Psyshock*,Shadow Ball,5,6,5,75000
Tentacruel (Shadow),88.2,73,water,poison,141.2,185.2,169,4416829,48,2499,Acid,Scald,Payback,7,8,3,50000
Dragalge,88.1,691,poison,dragon,151.2,185.4,147,4121297,49,2496,Acid,Aqua Tail,Outrage,5,8,3,50000
Dudunsparce,88.1,982,normal,none,149.6,128.5,217,4171045,38,2499,Rollout,Body Slam,Drill Run,3,4,3,50000
Tentacruel,88.1,73,water,poison,141.2,185.2,169,4416829,48,2499,Acid,Scald,Payback,7,8,3,50000
Aurorus,88,699,rock,ice,145.8,136.6,214,4262140,36,2497,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Gyarados (Shadow),88,130,water,flying,168,138.1,160,3712677,27,2500,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Sandslash (Alolan) (Shadow),88,28,ice,steel,149.8,171.4,162,4159285,47.5,2498,Powder Snow,Ice Punch,Drill Run,5,5,3,50000
Scizor (Shadow),87.9,212,bug,steel,177.1,144.6,137,3507755,31,2494,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Stunfisk,87.9,618,ground,electric,133.6,156.3,214,4468817,50,2445,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Weezing (Galarian),87.9,110,poison,fairy,155.4,176.2,147,4025295,49,2500,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Oinkologne (Female),87.8,916,normal,none,141.9,144.3,215,4401451,45,2500,Mud Slap*,Body Slam,Trailblaze,4,5,1,10000
Gastrodon,87.7,423,water,ground,149.8,130.8,212,4154572,47.5,2499,Mud Slap,Body Slam,Earth Power,4,5,3,50000
Kommo-o,87.7,784,dragon,fighting,159.8,178.1,137,3898756,28,2496,Dragon Tail,Clanging Scales*,Upper Hand,4,4,5,75000
Ludicolo,87.7,272,water,grass,153.1,158.1,168,4067890,47.5,2496,Astonish,Weather Ball (Water),Energy Ball,4,5,3,50000
Sandslash (Alolan),87.7,28,ice,steel,149.8,171.4,162,4159285,47.5,2498,Powder Snow,Ice Punch,Drill Run,5,5,3,50000
Weezing (Galarian) (Shadow),87.7,110,poison,fairy,155.4,176.2,147,4025295,49,2500,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Aurorus (Shadow),87.6,699,rock,ice,145.8,136.6,214,4262140,36,2497,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Crustle,87.5,558,bug,rock,155.1,172.9,150,4021778,43.5,2499,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Drapion,87.5,452,poison,dark,150.9,178,153,4110687,46,2494,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Skeledirge,87.5,911,fire,ghost,156.5,141.8,180,3994643,30.5,2500,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Swampert (Shadow),87.5,260,water,ground,157.7,141.3,177,3944235,32,2499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Raichu,87.4,26,electric,none,174.8,139.5,142,3462012,50,2467,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Samurott (Shadow),87.4,503,water,none,165.1,130.7,175,3777696,35.5,2498,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Cofagrigus,87.3,563,ghost,none,146.6,208.6,139,4251447,49.5,2497,Shadow Claw,Shadow Ball,Return<sup>†</sup>,7,9,3,50000
Drapion (Shadow),87.2,452,poison,dark,150.9,178,153,4110687,46,2494,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Grumpig,87.2,326,psychic,none,147,168.7,171,4241751,49,2498,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Latias,87.2,380,dragon,psychic,160.2,178.1,136,3881268,26.5,2495,Dragon Breath,Aura Sphere,Mist Ball*,10,15,20,100000
Miltank,87.2,241,normal,none,136.1,173.1,194,4571437,50,2495,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Politoed (Shadow),87.2,186,water,none,146.8,159.1,182,4252767,46,2499,Mud Shot,Weather Ball (Water),Ice Beam*,4,7,3,50000
Zapdos,87.2,145,electric,flying,176.1,134.2,149,3521675,25.5,2496,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Abomasnow (Shadow),87.1,460,grass,ice,152.9,145.4,183,4068528,50,2495,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Articuno,87.1,144,ice,flying,144.6,185.2,160,4284411,31,2495,Powder Snow,Icy Wind,Hurricane*,6,8,20,100000
Stunfisk (Galarian),87,618,ground,steel,133.6,156.3,214,4468817,50,2445,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Kyurem,86.9,646,dragon,ice,171,121.2,176,3648471,26,2500,Dragon Breath,Glaciate*,Dragon Claw,10,13,20,100000
Mandibuzz,86.9,630,dark,flying,121,184.9,215,4809416,50,2417,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Raikou,86.9,243,electric,none,169.2,143,151,3653881,26.5,2488,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Grimmsnarl,86.8,861,dark,fairy,175.3,116.4,174,3550096,34,2498,Sucker Punch,Foul Play,Play Rough,6,9,5,50000
Mewtwo (Armored),86.7,150,psychic,none,135,209,163,4596830,29.5,2492,Confusion,Psystrike*,Dynamic Punch,4,4,20,100000
Bombirdier,86.6,962,flying,dark,164.7,150.8,152,3775735,45,2497,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Drifblim,86.5,426,ghost,flying,153.2,97.4,272,4061233,48.5,2496,Hex,Icy Wind,Shadow Ball,4,4,5,75000
Greedent,86.5,820,normal,none,137.4,143.3,230,4527437,49.5,2496,Mud Shot,Body Slam,Trailblaze,4,5,1,10000
Grumpig (Shadow),86.5,326,psychic,none,147,168.7,171,4241751,49,2498,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Politoed,86.5,186,water,none,146.8,159.1,182,4252767,46,2499,Mud Shot,Weather Ball (Water),Ice Beam*,4,7,3,50000
Nidoqueen,86.4,31,poison,ground,150.5,152.1,181,4142930,45.5,2500,Mud Slap,Earth Power,Poison Fang,5,4,3,50000
Articuno (Shadow),86.3,144,ice,flying,146.2,180,160,4211218,30.5,2488,Powder Snow,Triple Axel,Hurricane*,6,8,20,100000
Doublade,86.3,680,steel,ghost,158,181.8,137,3935561,46.5,2497,Shadow Claw,Sacred Sword,Gyro Ball,5,7,5,75000
Jirachi,86.3,385,steel,psychic,155.5,154.8,166,3996896,27.5,2493,Confusion,Doom Desire,Aura Sphere,3,3,20,100000
Gourgeist (Super),86.2,711,ghost,grass,147.5,170.5,168,4222720,40.5,2495,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Zapdos (Shadow),86.2,145,electric,flying,177.4,132.9,147,3465841,25.5,2480,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Blaziken (Shadow),86.1,257,fire,fighting,185.1,117.9,154,3361194,34,2495,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Rapidash (Shadow),86.1,78,fire,none,173.1,143.6,145,3602748,46,2498,Incinerate,Drill Run,Wild Charge*,2,3,3,50000
Abomasnow,86,460,grass,ice,152.9,145.4,183,4068528,50,2495,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Primeape (Shadow),85.9,57,fighting,none,182.4,127.4,147,3416160,48.5,2499,Karate Chop*,Rage Fist*,Ice Punch,4,5,3,50000
Crustle (Shadow),85.8,558,bug,rock,155.1,172.9,150,4021778,43.5,2499,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Drifblim (Shadow),85.8,426,ghost,flying,153.2,97.4,272,4061233,48.5,2496,Astonish,Icy Wind,Shadow Ball,5,5,5,75000
Trevenant (Shadow),85.8,709,ghost,grass,165.6,135.7,168,3775585,43.5,2500,Shadow Claw,Shadow Ball,Seed Bomb,7,5,5,75000
Gourgeist (Average),85.7,711,ghost,grass,149.5,189.6,147,4167554,49,2496,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Gourgeist (Large),85.7,711,ghost,grass,148.3,179.1,158,4195581,44,2494,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Rapidash,85.7,78,fire,none,173.1,143.6,145,3602748,46,2498,Incinerate,Drill Run,Wild Charge*,2,3,3,50000
Spiritomb,85.7,442,ghost,dark,154.6,179.8,127,3531052,50,2343,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Coalossal,85.6,839,rock,fire,127.3,178.5,215,4885919,49.5,2496,Fire Spin,Rock Slide,Flame Charge,5,5,3,10000
Mantine,85.6,226,water,flying,137,202.5,149,4132945,50,2383,Wing Attack,Twister,Water Pulse,5,7,5,75000
Trevenant,85.6,709,ghost,grass,165.6,135.7,168,3775585,43.5,2500,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Nidoqueen (Shadow),85.4,31,poison,ground,150.5,152.1,181,4142930,45.5,2500,Mud Slap,Earth Power,Poison Fang,5,4,3,50000
Zeraora,85.4,807,electric,none,180.9,129.3,147,3437240,26.5,2494,Volt Switch,Plasma Fists,Wild Charge,3,3,20,100000
Electrode (Hisuian),85.3,101,electric,grass,160.5,160.5,142,3657833,50,2430,Thunder Shock,Wild Charge,Energy Ball,5,5,3,50000
Palossand,85.3,770,ghost,ground,150.2,157.6,175,4143492,47,2500,Astonish,Shadow Ball,Sand Tomb,5,4,3,50000
Hydreigon,85.1,635,dark,dragon,175,135.6,150,3559227,25,2498,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Pelipper,85.1,279,water,flying,159.7,158.8,142,3600580,50,2404,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Yveltal,85.1,717,dark,flying,167.9,131.6,167,3690577,24.5,2496,Sucker Punch,Dark Pulse,Oblivion Wing*,8,8,20,100000
Bronzong,85,437,steel,psychic,147.1,189.9,152,4244816,50,2499,Confusion,Weather Ball (Water),Payback,3,5,3,50000
Regirock,85,377,rock,none,133.9,234.9,147,4623167,30,2488,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Tapu Fini,84.9,788,water,fairy,147.7,201.8,141,4204161,35,2498,Water Gun,Surf,Nature's Madness*,15,17,20,100000
Thievul,84.9,828,dark,none,157.1,150.4,157,3710761,50,2415,Sucker Punch,Night Slash,Icy Wind*,5,7,1,10000
Greninja (Shadow),84.8,658,water,dark,178.8,129.9,150,3483959,39.5,2498,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Perrserker,84.8,863,steel,none,165.7,147.4,154,3762118,48.5,2497,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Amoonguss (Shadow),84.7,591,grass,poison,142.9,129.4,221,4085363,50,2420,Astonish,Grass Knot,Foul Play,5,4,3,50000
Gliscor,84.7,472,ground,flying,148.8,186.6,151,4194296,39.5,2500,Wing Attack,Sand Tomb,Acrobatics,5,7,5,75000
Latias (Shadow),84.7,380,dragon,psychic,163.5,171.7,136,3816412,26,2499,Dragon Breath,Aura Sphere,Mist Ball*,10,15,20,100000
Slurpuff,84.7,685,fairy,none,153.8,149.6,174,4002111,50,2486,Fairy Wind,Play Rough,Energy Ball,7,5,3,50000
Umbreon,84.7,197,dark,none,118.5,214.3,194,4925267,50,2416,Snarl,Foul Play,Last Resort*,4,5,5,75000
Genesect (Shock),84.6,649,bug,steel,181.9,147.2,127,3398909,27,2493,Fury Cutter,X-Scissor,Techno Blast (Shock),10,14,20,100000
Lugia,84.6,249,psychic,flying,132.3,215.7,164,4679276,25,2495,Dragon Tail,Fly,Aeroblast*,4,7,20,100000
Pawmot,84.6,923,electric,fighting,187.1,120.5,148,3336944,40.5,2500,Thunder Shock,Brick Break*,Wild Charge,5,5,3,75000
Bellossom (Shadow),84.5,182,grass,none,151.6,166.6,163,4115043,48.5,2499,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Gourgeist (Small),84.3,711,ghost,grass,154.2,196,134,4049702,49.5,2499,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Magnezone,84.3,462,electric,steel,173.3,156.9,132,3589120,28.5,2500,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Regice,84.3,378,ice,none,133.9,234.9,147,4623167,30,2488,Lock On,Blizzard,Thunder*,15,12,20,100000
Machamp (Shadow),84.2,68,fighting,none,174.1,127.3,161,3569589,30,2498,Karate Chop*,Cross Chop,Rock Slide,4,5,3,50000
Registeel (Shadow),84.2,379,steel,none,124.2,240.3,167,4985042,46.5,2488,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Conkeldurr (Shadow),84.1,534,fighting,none,173,121.2,172,3606957,27.5,2500,Force Palm,Dynamic Punch,Brutal Swing*,5,4,5,75000
Oinkologne,84.1,916,normal,none,151.1,133.6,204,4118651,41,2497,Mud Slap*,Body Slam,Trailblaze,4,5,1,10000
Genesect (Burn),84,649,bug,steel,181.9,147.2,127,3398909,27,2493,Fury Cutter,X-Scissor,Techno Blast (Burn)*,10,14,20,100000
Solrock,84,338,rock,psychic,157.3,139.1,181,3959098,47.5,2497,Psywave,Weather Ball (Fire),Rock Slide,9,12,3,50000
Starmie (Shadow),84,121,water,psychic,170.7,158,135,3640869,41.5,2498,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Dodrio,83.9,85,normal,flying,184.9,129.1,141,3365031,48.5,2499,Peck,Drill Peck,Brave Bird,5,7,3,50000
Gogoat,83.9,673,grass,none,153.5,123.6,214,4057981,36,2496,Vine Whip,Leaf Blade,Rock Slide,5,6,3,50000
Golurk (Shadow),83.9,623,ground,ghost,172.1,127.2,166,3633671,35,2500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Typhlosion,83.9,157,fire,none,171.5,140.6,151,3640809,34,2500,Incinerate,Blast Burn*,Thunder Punch,3,2,3,10000
Electivire,83.8,466,electric,none,185,128.4,142,3374171,29.5,2500,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Lucario,83.8,448,fighting,steel,186.3,123.4,145,3332518,37.5,2492,Force Palm*,Aura Sphere,Shadow Ball,4,5,5,75000
Toedscruel,83.8,949,ground,grass,141.2,185.2,169,4416829,48,2499,Mud Slap,Seed Bomb,Earth Power,4,5,3,50000
Magnezone (Shadow),83.7,462,electric,steel,173.3,156.9,132,3589120,28.5,2500,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Typhlosion (Shadow),83.7,157,fire,none,171.5,140.6,151,3640809,34,2500,Incinerate,Blast Burn*,Thunder Punch,3,2,3,10000
Blaziken,83.6,257,fire,fighting,185.1,117.9,154,3361194,34,2495,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Cofagrigus (Shadow),83.6,563,ghost,none,146.6,208.6,139,4251447,49.5,2497,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Gallade (Shadow),83.6,475,psychic,fighting,175.6,151.6,133,3541430,29.5,2498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Throh (Shadow),83.6,538,fighting,none,142.2,139.8,221,4390995,43.5,2500,Low Kick,Brick Break,Body Slam,5,5,5,75000
Lunatone,83.4,337,rock,psychic,157.3,139.1,181,3959098,47.5,2497,Psywave,Weather Ball (Ice),Rock Slide,9,12,3,50000
Victreebel (Shadow),83.4,71,grass,poison,173.6,123.4,167,3578349,46.5,2492,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Bellossom,83.3,182,grass,none,151.6,166.6,163,4115043,48.5,2499,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Camerupt,83.3,323,fire,ground,175.6,126.9,157,3498579,50,2479,Incinerate,Earth Power,Rock Tomb,3,3,3,50000
Giratina (Origin),83.3,487,ghost,dragon,154.3,134.3,195,4039334,25,2500,Dragon Tail,Ominous Wind,Shadow Ball,4,5,20,100000
Pangoro,83.3,675,fighting,dark,172.4,120.7,173,3601186,33,2493,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Skuntank,83.3,435,poison,dark,158,122.7,204,3953754,50,2500,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Armarouge,83.2,936,fire,psychic,169.7,142.6,151,3655686,28.5,2492,Incinerate,Psyshock,Flame Charge,2,3,5,50000
Gholdengo,83.2,1000,steel,ghost,174.4,139,147,3561984,26,2499,Hex,Shadow Ball,Power Gem,4,4,5,10000
Starmie,83.2,121,water,psychic,170.7,158,135,3640869,41.5,2498,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Victreebel,83.2,71,grass,poison,173.6,123.4,167,3578349,46.5,2492,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
