League,Rank,Pokemon,Score,Fast Move,Charged Move 1,Charged Move 2
Great,44,Diggersby,89.6,Mud Shot,Fire Punch,Scorching Sands
Great,45,Dusclops,89.6,Hex,Ice Punch,Shadow Punch
Great,46,Lapras (Shadow),89.5,Psywave,Sparkling Aria,Ice Beam*
Great,47,Sableye,89.5,Shadow Claw,Foul Play,Power Gem
Great,48,Wigglytuff,89.5,Charm,Icy Wind,Swift
Great,49,Cradily,89.4,Acid,Rock Tomb,Grass Knot
Great,50,Dusclops (Shadow),89.4,Hex,Ice Punch,Shadow Punch
Great,51,Florges,89.4,Fairy Wind,Chilling Water*,Disarming Voice
Great,52,Moltres (Galarian),89.4,Sucker Punch,Fly,Brave Bird
Great,53,Blastoise,89.3,Rollout,Hydro Cannon*,Skull Bash
Great,54,Clefable,89.3,Fairy Wind,Moonblast,Meteor Mash
Great,55,Mantine,89.3,Wing Attack,Twister,Water Pulse
Great,56,Talonflame (Shadow),89.3,Incinerate*,Flame Charge,Fly
Great,57,Mandibuzz,89.2,Snarl,Foul Play,Shadow Ball
Great,58,Dewgong,89.1,Ice Shard*,Icy Wind*,Drill Run
Great,59,Malamar,89.1,Psywave,Superpower,Foul Play
Great,60,Steelix (Shadow),89.1,Thunder Fang,Psychic Fangs,Crunch
Great,61,Charjabug,89.0,Volt Switch*,X-Scissor,Discharge
Great,62,Drapion (Shadow),89.0,Poison Sting,Crunch,Aqua Tail
Great,63,Gastrodon,89.0,Mud Slap,Body Slam,Earth Power
Great,64,Ninetales (Alolan),89.0,Powder Snow,Weather Ball (Ice),Chilling Water*
Great,65,Ninetales (Alolan) (Shadow),88.8,Powder Snow,Weather Ball (Ice),Chilling Water*
Great,66,Swampert,88.8,Mud Shot,Hydro Cannon*,Earthquake
Great,67,Aegislash (Shield),88.7,Psycho Cut,Shadow Ball,Gyro Ball
Great,68,Bastiodon,88.7,Smack Down,Stone Edge,Flamethrower
Great,69,Marowak (Shadow),88.7,Mud Slap,Bone Club,Rock Slide
Great,70,Swampert (Shadow),88.7,Mud Shot,Hydro Cannon*,Earthquake
Great,71,Stunfisk (Galarian),88.5,Mud Shot,Rock Slide,Earthquake
Great,72,Stunfisk,88.4,Thunder Shock,Mud Bomb,Discharge
Great,73,Hydreigon (Shadow),88.3,Dragon Breath,Brutal Swing*,Fly
Great,74,Registeel,88.3,Lock On,Flash Cannon,Focus Blast
Great,75,Dusknoir (Shadow),88.2,Astonish,Dynamic Punch,Shadow Punch
Great,76,Malamar (Shadow),88.2,Psywave,Foul Play,Superpower
Great,77,Dunsparce,88.1,Rollout,Drill Run,Rock Slide
Great,78,Jumpluff (Shadow),88.0,Fairy Wind,Energy Ball,Acrobatics*
Great,79,Melmetal,88.0,Thunder Shock,Double Iron Bash*,Dynamic Punch
Great,80,Morpeko (Full Belly),88.0,Thunder Shock,Aura Wheel,Psychic Fangs
Great,81,Pelipper,88.0,Wing Attack,Weather Ball (Water),Hurricane
Great,82,Turtonator,88.0,Incinerate,Brutal Swing,Dragon Claw
Great,83,Oranguru,87.9,Confusion,Brutal Swing,Trailblaze
Great,84,Seaking,87.9,Peck,Drill Run*,Icy Wind*
Great,85,Dondozo,87.8,Waterfall,Surf,Outrage
Great,86,Gourgeist (Large),87.8,Incinerate,Shadow Ball,Seed Bomb
Great,87,Gourgeist (Super),87.8,Incinerate,Shadow Ball,Seed Bomb
Great,88,Milotic,87.8,Waterfall,Aqua Tail,Wrap
Great,89,Shelgon,87.8,Dragon Breath,Twister,Flamethrower
Great,90,Gourgeist (Average),87.7,Incinerate,Shadow Ball,Seed Bomb
Great,91,Hydreigon,87.7,Dragon Breath,Brutal Swing*,Fly
Great,92,Drapion,87.6,Poison Sting,Crunch,Aqua Tail
Great,93,Shelgon (Shadow),87.6,Dragon Breath,Twister,Flamethrower
Great,94,Doublade,87.5,Shadow Claw,Sacred Sword,Gyro Ball
Great,95,Morgrem,87.5,Sucker Punch,Foul Play,Play Rough
Great,96,Samurott,87.5,Fury Cutter,Hydro Cannon*,Megahorn
Great,97,Crustle,87.4,Fury Cutter,X-Scissor,Rock Wrecker
Great,98,Dusknoir,87.4,Astonish,Dynamic Punch,Shadow Punch
Great,99,Gourgeist (Small),87.4,Incinerate,Shadow Ball,Seed Bomb
Great,100,Castform (Sunny),87.3,Ember,Weather Ball (Fire),Solar Beam
Great,101,Spidops,87.2,Shadow Claw,Lunge,Rock Tomb
Great,102,Aromatisse,87.1,Fairy Wind,Psyshock,Moonblast
Great,103,Toxapex,87.1,Poison Jab,Brine,Sludge Wave
Great,104,Miltank,87.0,Rollout,Body Slam,Thunderbolt
Great,105,Carbink,86.9,Rock Throw,Rock Slide,Moonblast
Great,106,Golisopod,86.9,Fury Cutter,X-Scissor,Aqua Jet
Great,107,Milotic (Shadow),86.9,Waterfall,Aqua Tail,Wrap
Great,108,Crustle (Shadow),86.8,Fury Cutter,X-Scissor,Rock Wrecker
Great,109,Ludicolo,86.8,Astonish,Weather Ball (Water),Energy Ball
Great,110,Aurorus,86.7,Powder Snow,Weather Ball (Ice),Meteor Beam
Great,111,Gligar,86.7,Wing Attack,Night Slash,Dig
Great,112,Lumineon,86.7,Gust,Aqua Tail,Silver Wind
Great,113,Primeape (Shadow),86.7,Karate Chop*,Rage Fist*,Ice Punch
Great,114,Togekiss,86.7,Peck,Psyshock,Aura Sphere*
Great,115,Grumpig (Shadow),86.6,Psywave,Dynamic Punch,Shadow Ball
Great,116,Politoed (Shadow),86.6,Mud Shot,Weather Ball (Water),Ice Beam*
Great,117,Sylveon,86.6,Fairy Wind,Psyshock*,Shadow Ball
Great,118,Toucannon,86.6,Peck,Beak Blast*,Drill Peck
Great,119,Noctowl,86.4,Wing Attack,Shadow Ball,Return<sup>†</sup>
Great,120,Walrein,86.4,Powder Snow*,Icicle Spear*,Earthquake
Great,121,Sandslash (Alolan),86.3,Powder Snow,Ice Punch,Drill Run
Great,122,Toucannon (Shadow),86.3,Peck,Beak Blast*,Drill Peck
Great,123,Gligar (Shadow),86.2,Wing Attack,Night Slash,Dig
Great,124,Lickitung,86.2,Lick,Body Slam*,Power Whip
Great,125,Weezing (Galarian) (Shadow),86.2,Fairy Wind,Sludge,Brutal Swing
Great,126,Araquanid,86.1,Bug Bite,Water Pulse,Bubble Beam
Great,127,Greninja (Shadow),86.1,Water Shuriken,Hydro Cannon*,Night Slash
Great,128,Hippowdon,86.1,Sand Attack,Weather Ball (Rock),Earth Power
Great,129,Swalot,86.1,Mud Shot,Sludge,Ice Beam
Great,130,Cresselia,86.0,Psycho Cut,Grass Knot*,Moonblast
Great,131,Murkrow (Shadow),86.0,Peck,Drill Peck,Foul Play
Great,132,Regidrago,86.0,Dragon Breath*,Dragon Energy*,Vise Grip
Great,133,Cradily,85.9,Bullet Seed,Rock Tomb,Grass Knot
Great,134,Goodra,85.9,Dragon Breath,Aqua Tail,Thunder Punch*
Great,135,Pachirisu,85.9,Volt Switch,Hyper Fang,Thunder Punch
Great,136,Bellibolt,85.8,Thunder Shock,Zap Cannon,Parabolic Charge
Great,137,Linoone,85.8,Shadow Claw,Swift,Grass Knot
Great,138,Steelix,85.8,Thunder Fang,Psychic Fangs,Crunch
Great,139,Zweilous,85.8,Dragon Breath,Body Slam,Dark Pulse
Great,140,Kommo-o,85.7,Dragon Tail,Clanging Scales*,Upper Hand
Great,141,Sandslash (Alolan) (Shadow),85.7,Powder Snow,Ice Punch,Drill Run
Great,142,Spiritomb,85.7,Sucker Punch,Rock Tomb,Shadow Ball
Great,143,Araquanid (Shadow),85.6,Bug Bite,Bubble Beam,Water Pulse
Great,144,Giratina (Altered) (Shadow),85.6,Dragon Breath,Dragon Claw,Shadow Sneak
Great,145,Lanturn,85.6,Water Gun,Surf,Thunderbolt
Great,146,Qwilfish (Shadow),85.6,Poison Sting,Aqua Tail,Shadow Ball
Great,147,Klefki,85.5,Astonish,Foul Play,Play Rough
Great,148,Ledian,85.5,Rollout,Dynamic Punch,Acrobatics
Great,149,Marowak,85.5,Mud Slap,Bone Club,Rock Slide
Great,150,Zweilous (Shadow),85.5,Dragon Breath,Body Slam,Dark Pulse
Great,151,Annihilape,85.4,Low Kick,Rage Fist*,Ice Punch
Great,152,Diggersby (Shadow),85.4,Mud Shot,Scorching Sands,Fire Punch
Great,153,Dragalge,85.4,Acid,Aqua Tail,Outrage
Great,154,Dudunsparce,85.4,Rollout,Body Slam,Drill Run
Great,155,Hakamo-o,85.4,Dragon Tail,Brick Break,Rock Tomb
Great,156,Walrein (Shadow),85.4,Powder Snow*,Icicle Spear*,Earthquake
Great,157,Pidgeot,85.3,Gust*,Air Cutter*,Brave Bird
Great,158,Abomasnow (Shadow),85.1,Powder Snow,Weather Ball (Ice),Energy Ball
Great,159,Dubwool,85.1,Double Kick,Body Slam,Payback
Great,160,Metang (Shadow),85.1,Fury Cutter,Psyshock,Gyro Ball
Great,161,Samurott (Shadow),85.1,Fury Cutter,Hydro Cannon*,Megahorn
Great,162,Politoed,85.0,Mud Shot,Weather Ball (Water),Ice Beam*
Ultra,1,Mimikyu,95.9,Shadow Claw,Shadow Sneak,Play Rough
Ultra,2,Lickilicky,93.8,Rollout,Body Slam*,Shadow Ball
Ultra,3,Corviknight,93.4,Sand Attack,Air Cutter*,Payback
Ultra,4,Tinkaton,93.2,Fairy Wind,Gigaton Hammer*,Bulldoze
Ultra,5,Corviknight (Shadow),93.1,Sand Attack,Air Cutter*,Payback
Ultra,6,Florges,93.0,Fairy Wind,Chilling Water*,Disarming Voice
Ultra,7,Virizion,92.8,Double Kick,Leaf Blade,Sacred Sword*
Ultra,8,Empoleon (Shadow),92.7,Metal Sound,Hydro Cannon*,Drill Peck
Ultra,9,Empoleon,92.5,Metal Sound,Hydro Cannon*,Drill Peck
Ultra,10,Moltres (Galarian),92.2,Sucker Punch,Fly,Brave Bird
Ultra,11,Annihilape,91.8,Low Kick,Rage Fist*,Ice Punch
Ultra,12,Annihilape (Shadow),91.8,Counter,Rage Fist*,Ice Punch
Ultra,13,Jellicent,91.8,Hex,Surf,Shadow Ball
Ultra,14,Primeape,91.8,Karate Chop*,Rage Fist*,Ice Punch
Ultra,15,Forretress,91.7,Volt Switch,Sand Tomb,Rock Tomb
Ultra,16,Zygarde (Complete Forme),91.7,Dragon Tail,Crunch,Earthquake
Ultra,17,Feraligatr (Shadow),91.1,Shadow Claw,Hydro Cannon*,Ice Beam
Ultra,18,Forretress (Shadow),91.1,Volt Switch,Sand Tomb,Rock Tomb
Ultra,19,Ninetales (Alolan),91.1,Powder Snow,Weather Ball (Ice),Chilling Water*
Ultra,20,Kingdra,91.0,Dragon Breath,Surf,Swift
Ultra,21,Ninetales (Alolan) (Shadow),90.8,Powder Snow,Weather Ball (Ice),Chilling Water*
Ultra,22,Registeel,90.8,Lock On,Flash Cannon,Focus Blast
Ultra,23,Blastoise,90.7,Rollout,Hydro Cannon*,Skull Bash
Ultra,24,Dusknoir,90.7,Astonish,Dynamic Punch,Shadow Punch
Ultra,25,Lapras,90.7,Psywave,Sparkling Aria,Ice Beam*
Ultra,26,Malamar,90.7,Psywave,Superpower,Foul Play
Ultra,27,Cramorant,90.6,Peck,Dive,Fly
Ultra,28,Dusknoir (Shadow),90.6,Astonish,Dynamic Punch,Shadow Punch
Ultra,29,Malamar (Shadow),90.6,Psywave,Foul Play,Superpower
Ultra,30,Lapras (Shadow),90.5,Psywave,Sparkling Aria,Ice Beam*
Ultra,31,Regidrago,90.5,Dragon Breath*,Dragon Energy*,Vise Grip
Ultra,32,Talonflame,90.5,Incinerate*,Fly,Brave Bird
Ultra,33,Walrein,90.5,Powder Snow*,Icicle Spear*,Earthquake
Ultra,34,Walrein (Shadow),90.5,Powder Snow*,Icicle Spear*,Earthquake
Ultra,35,Dondozo,90.4,Waterfall,Surf,Outrage
Ultra,36,Giratina (Altered),90.4,Dragon Breath,Dragon Claw,Shadow Sneak
Ultra,37,Talonflame (Shadow),90.2,Incinerate*,Flame Charge,Fly
Ultra,38,Bellibolt,90.1,Thunder Shock,Zap Cannon,Parabolic Charge
Ultra,39,Kingdra (Shadow),90.0,Dragon Breath,Surf,Swift
Ultra,40,Milotic,89.9,Waterfall,Aqua Tail,Wrap
Ultra,41,Ninetales,89.9,Ember*,Weather Ball (Fire),Energy Ball*
Ultra,42,Steelix,89.9,Thunder Fang,Psychic Fangs,Crunch
Ultra,43,Cradily,89.8,Acid,Rock Tomb,Grass Knot
Ultra,44,Cresselia,89.8,Psycho Cut,Grass Knot*,Moonblast
Ultra,45,Feraligatr,89.7,Shadow Claw,Hydro Cannon*,Ice Beam
Ultra,46,Giratina (Altered) (Shadow),89.7,Dragon Breath,Dragon Claw,Shadow Sneak
Ultra,47,Oranguru,89.7,Confusion,Brutal Swing,Trailblaze
Ultra,48,Seaking,89.7,Peck,Drill Run*,Icy Wind*
Ultra,49,Swampert,89.6,Mud Shot,Hydro Cannon*,Earthquake
Ultra,50,Runerigus,89.5,Shadow Claw,Shadow Ball,Rock Tomb
Ultra,51,Steelix (Shadow),89.4,Thunder Fang,Psychic Fangs,Crunch
Ultra,52,Cradily (Shadow),89.3,Acid,Rock Tomb,Grass Knot
Ultra,53,Cresselia (Shadow),89.2,Psycho Cut,Grass Knot*,Moonblast
Ultra,54,Clefable,89.1,Fairy Wind,Moonblast,Meteor Mash
Ultra,55,Ninetales (Shadow),89.1,Ember*,Weather Ball (Fire),Energy Ball*
Ultra,56,Raikou (Shadow),89.1,Thunder Shock,Wild Charge,Aura Sphere
Ultra,57,Ampharos (Shadow),89.0,Volt Switch,Brutal Swing,Trailblaze
Ultra,58,Milotic (Shadow),89.0,Waterfall,Aqua Tail,Wrap
Ultra,59,Togekiss,89.0,Peck,Psyshock,Aura Sphere*
Ultra,60,Turtonator,89.0,Incinerate,Brutal Swing,Dragon Claw
Ultra,61,Ampharos,88.9,Volt Switch,Brutal Swing,Trailblaze
Ultra,62,Guzzlord,88.9,Dragon Tail,Brutal Swing,Sludge Bomb
Ultra,63,Hippowdon,88.9,Sand Attack,Weather Ball (Rock),Earth Power
Ultra,64,Aromatisse,88.8,Fairy Wind,Psyshock,Moonblast
Ultra,65,Golisopod,88.8,Fury Cutter,X-Scissor,Aqua Jet
Ultra,66,Gyarados,88.8,Dragon Breath,Aqua Tail*,Twister
Ultra,67,Hydreigon (Shadow),88.8,Dragon Breath,Brutal Swing*,Fly
Ultra,68,Orthworm,88.8,Mud Slap,Rock Tomb,Earthquake
Ultra,69,Toucannon,88.8,Peck,Beak Blast*,Drill Peck
Ultra,70,Toucannon (Shadow),88.8,Peck,Beak Blast*,Drill Peck
Ultra,71,Hippowdon (Shadow),88.6,Sand Attack,Weather Ball (Rock),Earth Power
Ultra,72,Melmetal,88.6,Thunder Shock,Double Iron Bash*,Dynamic Punch
Ultra,73,Seismitoad,88.6,Mud Shot,Earth Power,Icy Wind
Ultra,74,Primarina,88.5,Waterfall,Disarming Voice,Hydro Cannon*
Ultra,75,Cobalion,88.4,Double Kick,Sacred Sword*,Stone Edge
Ultra,76,Goodra,88.4,Dragon Breath,Aqua Tail,Thunder Punch*
Ultra,77,Samurott,88.4,Fury Cutter,Hydro Cannon*,Megahorn
Ultra,78,Blastoise (Shadow),88.2,Rollout,Hydro Cannon*,Skull Bash
Ultra,79,Sylveon,88.2,Fairy Wind,Psyshock*,Shadow Ball
Ultra,80,Tentacruel (Shadow),88.2,Acid,Scald,Payback
Ultra,81,Dragalge,88.1,Acid,Aqua Tail,Outrage
Ultra,82,Dudunsparce,88.1,Rollout,Body Slam,Drill Run
Ultra,83,Tentacruel,88.1,Acid,Scald,Payback
Ultra,84,Aurorus,88.0,Powder Snow,Weather Ball (Ice),Meteor Beam
Ultra,85,Gyarados (Shadow),88.0,Dragon Breath,Aqua Tail*,Twister
Ultra,86,Sandslash (Alolan) (Shadow),88.0,Powder Snow,Ice Punch,Drill Run
Ultra,87,Scizor (Shadow),87.9,Bullet Punch,Night Slash,Trailblaze
Ultra,88,Stunfisk,87.9,Thunder Shock,Mud Bomb,Discharge
Ultra,89,Weezing (Galarian),87.9,Fairy Wind,Sludge,Brutal Swing
Ultra,90,Oinkologne (Female),87.8,Mud Slap*,Body Slam,Trailblaze
Ultra,91,Gastrodon,87.7,Mud Slap,Body Slam,Earth Power
Ultra,92,Kommo-o,87.7,Dragon Tail,Clanging Scales*,Upper Hand
Ultra,93,Ludicolo,87.7,Astonish,Weather Ball (Water),Energy Ball
Ultra,94,Sandslash (Alolan),87.7,Powder Snow,Ice Punch,Drill Run
Ultra,95,Weezing (Galarian) (Shadow),87.7,Fairy Wind,Sludge,Brutal Swing
Ultra,96,Aurorus (Shadow),87.6,Powder Snow,Weather Ball (Ice),Meteor Beam
Ultra,97,Crustle,87.5,Fury Cutter,X-Scissor,Rock Wrecker
Ultra,98,Drapion,87.5,Poison Sting,Crunch,Aqua Tail
Ultra,99,Skeledirge,87.5,Incinerate,Torch Song,Shadow Ball
Ultra,100,Swampert (Shadow),87.5,Mud Shot,Hydro Cannon*,Earthquake
Ultra,101,Raichu,87.4,Thunder Shock,Wild Charge,Trailblaze
Ultra,102,Samurott (Shadow),87.4,Fury Cutter,Hydro Cannon*,Megahorn
Ultra,103,Cofagrigus,87.3,Shadow Claw,Shadow Ball,Return<sup>†</sup>
Ultra,104,Drapion (Shadow),87.2,Poison Sting,Crunch,Aqua Tail
Ultra,105,Grumpig,87.2,Psywave,Dynamic Punch,Shadow Ball
Ultra,106,Latias,87.2,Dragon Breath,Aura Sphere,Mist Ball*
Ultra,107,Miltank,87.2,Rollout,Body Slam,Thunderbolt
Ultra,108,Politoed (Shadow),87.2,Mud Shot,Weather Ball (Water),Ice Beam*
Ultra,109,Zapdos,87.2,Thunder Shock*,Drill Peck,Heat Wave
Ultra,110,Abomasnow (Shadow),87.1,Powder Snow,Weather Ball (Ice),Energy Ball
Ultra,111,Articuno,87.1,Powder Snow,Icy Wind,Hurricane*
Ultra,112,Stunfisk (Galarian),87.0,Mud Shot,Rock Slide,Earthquake
Ultra,113,Kyurem,86.9,Dragon Breath,Glaciate*,Dragon Claw
Ultra,114,Mandibuzz,86.9,Snarl,Foul Play,Shadow Ball
Ultra,115,Raikou,86.9,Thunder Shock,Wild Charge,Aura Sphere
Ultra,116,Grimmsnarl,86.8,Sucker Punch,Foul Play,Play Rough
Ultra,117,Mewtwo (Armored),86.7,Confusion,Psystrike*,Dynamic Punch
Ultra,118,Bombirdier,86.6,Sucker Punch,Fly,Rock Tomb
Ultra,119,Drifblim,86.5,Hex,Icy Wind,Shadow Ball
Ultra,120,Greedent,86.5,Mud Shot,Body Slam,Trailblaze
Ultra,121,Grumpig (Shadow),86.5,Psywave,Dynamic Punch,Shadow Ball
Ultra,122,Politoed,86.5,Mud Shot,Weather Ball (Water),Ice Beam*
Ultra,123,Nidoqueen,86.4,Mud Slap,Earth Power,Poison Fang
Ultra,124,Articuno (Shadow),86.3,Powder Snow,Triple Axel,Hurricane*
Ultra,125,Doublade,86.3,Shadow Claw,Sacred Sword,Gyro Ball
Ultra,126,Jirachi,86.3,Confusion,Doom Desire,Aura Sphere
Ultra,127,Gourgeist (Super),86.2,Incinerate,Shadow Ball,Seed Bomb
Ultra,128,Zapdos (Shadow),86.2,Thunder Shock*,Drill Peck,Heat Wave
Ultra,129,Blaziken (Shadow),86.1,Ember,Aura Sphere,Blast Burn*
Ultra,130,Rapidash (Shadow),86.1,Incinerate,Drill Run,Wild Charge*
Ultra,131,Abomasnow,86.0,Powder Snow,Weather Ball (Ice),Energy Ball
Ultra,132,Primeape (Shadow),85.9,Karate Chop*,Rage Fist*,Ice Punch
Ultra,133,Crustle (Shadow),85.8,Fury Cutter,X-Scissor,Rock Wrecker
Ultra,134,Drifblim (Shadow),85.8,Astonish,Icy Wind,Shadow Ball
Ultra,135,Trevenant (Shadow),85.8,Shadow Claw,Shadow Ball,Seed Bomb
Ultra,136,Gourgeist (Average),85.7,Incinerate,Shadow Ball,Seed Bomb
Ultra,137,Gourgeist (Large),85.7,Incinerate,Shadow Ball,Seed Bomb
Ultra,138,Rapidash,85.7,Incinerate,Drill Run,Wild Charge*
Ultra,139,Spiritomb,85.7,Sucker Punch,Rock Tomb,Shadow Ball
Ultra,140,Coalossal,85.6,Fire Spin,Rock Slide,Flame Charge
Ultra,141,Mantine,85.6,Wing Attack,Twister,Water Pulse
Ultra,142,Trevenant,85.6,Shadow Claw,Seed Bomb,Shadow Ball
Ultra,143,Nidoqueen (Shadow),85.4,Mud Slap,Earth Power,Poison Fang
Ultra,144,Zeraora,85.4,Volt Switch,Plasma Fists,Wild Charge
Ultra,145,Electrode (Hisuian),85.3,Thunder Shock,Wild Charge,Energy Ball
Ultra,146,Palossand,85.3,Astonish,Shadow Ball,Sand Tomb
Ultra,147,Hydreigon,85.1,Dragon Breath,Brutal Swing*,Fly
Ultra,148,Pelipper,85.1,Wing Attack,Weather Ball (Water),Hurricane
Ultra,149,Yveltal,85.1,Sucker Punch,Dark Pulse,Oblivion Wing*
Ultra,150,Bronzong,85.0,Confusion,Weather Ball (Water),Payback
Ultra,151,Regirock,85.0,Lock On,Stone Edge,Focus Blast
Master,1,Zacian (Crowned Sword),99.0,Metal Claw,Close Combat,Behemoth Blade<sup>†</sup>
Master,2,Palkia (Origin),98.9,Dragon Breath,Aqua Tail,Spacial Rend<sup>†</sup>
Master,3,Metagross,97.9,Shadow Claw*,Meteor Mash*,Earthquake
Master,4,Kyurem (White),94.8,Dragon Breath,Fusion Flare,Ice Burn<sup>†</sup>
Master,5,Lunala,94.8,Shadow Claw,Shadow Ball,Moonblast
Master,6,Xerneas,94.8,Geomancy*,Close Combat,Moonblast
Master,7,Dialga (Origin),94.0,Dragon Breath,Roar of Time<sup>†</sup>,Iron Head
Master,8,Reshiram,94.0,Dragon Breath,Fusion Flare*,Draco Meteor
Master,9,Zamazenta (Crowned Shield),93.9,Ice Fang,Close Combat,Behemoth Bash<sup>†</sup>
Master,10,Kyurem (Black),93.1,Dragon Tail,Freeze Shock<sup>†</sup>,Fusion Bolt
Master,11,Kyogre,93.0,Waterfall,Avalanche,Origin Pulse*
Master,12,Zekrom,92.8,Dragon Breath,Outrage,Fusion Bolt*
Master,13,Marshadow,92.6,Shadow Claw,Close Combat,Ice Punch
Master,14,Reshiram (Shadow),92.5,Dragon Breath,Fusion Flare*,Draco Meteor
Master,15,Eternatus,91.4,Dragon Tail,Dynamax Cannon*,Flamethrower
Master,16,Palkia (Shadow),91.4,Dragon Breath,Aqua Tail,Draco Meteor
Master,17,Lugia,91.0,Dragon Tail,Aeroblast*,Fly
Master,18,Metagross (Shadow),90.5,Shadow Claw*,Meteor Mash*,Earthquake
Master,19,Lugia (Shadow),90.2,Dragon Tail,Aeroblast*,Fly
Master,20,Garchomp (Shadow),89.7,Dragon Tail,Twister,Earth Power*
Master,21,Necrozma (Dawn Wings),89.6,Shadow Claw,Dark Pulse,Moongeist Beam
Master,22,Yveltal,89.6,Sucker Punch,Dark Pulse,Oblivion Wing*
Master,23,Garchomp,88.7,Dragon Tail,Twister,Earth Power*
Master,24,Ho-Oh,88.7,Incinerate,Brave Bird,Sacred Fire*
Master,25,Zygarde (Complete Forme),88.6,Dragon Tail,Crunch,Earthquake
Master,26,Meloetta (Aria),88.5,Confusion,Psyshock,Dazzling Gleam
Master,27,Palkia,88.4,Dragon Breath,Aqua Tail,Fire Blast
Master,28,Latios,88.0,Dragon Breath,Aura Sphere,Luster Purge*
Master,29,Latios (Shadow),88.0,Dragon Breath,Aura Sphere,Luster Purge*
Master,30,Kyogre (Shadow),87.9,Waterfall,Avalanche,Origin Pulse*
Master,31,Necrozma (Dusk Mane),87.7,Shadow Claw,Dark Pulse,Sunsteel Strike
Master,32,Gyarados (Shadow),87.6,Dragon Breath,Aqua Tail*,Twister
Master,33,Groudon,87.4,Dragon Tail,Fire Punch*,Precipice Blades*
Master,34,Gholdengo,87.0,Hex,Shadow Ball,Focus Blast
Master,35,Mewtwo (Shadow),87.0,Psycho Cut,Psystrike*,Shadow Ball*
Master,36,Florges,86.8,Fairy Wind,Moonblast,Chilling Water*
Master,37,Solgaleo,86.8,Fire Spin,Psychic Fangs,Iron Head
Master,38,Melmetal,86.6,Thunder Shock,Double Iron Bash*,Dynamic Punch
Master,39,Keldeo (Resolute),86.3,Low Kick,Secret Sword*,Aqua Jet
Master,40,Latias (Shadow),86.3,Dragon Breath,Aura Sphere,Mist Ball*
